Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
WT_01_HomePage_FF,465,278,263,351,372,392,212,443,0.000%,.13251,0.79,0.34
WT_01_HomePage_FB,128,271,262,319,338,365,219,377,0.000%,.03617,0.22,0.09
WT_02_ClickLogin_FF,465,373,340,466,492,969,279,1078,0.000%,.13250,0.49,0.27
WT_03_ClickFlights_FF,465,386,358,481,517,782,284,875,0.000%,.13251,0.92,0.26
WT_04_FindFlights_FF,465,91,82,123,130,183,64,374,0.000%,.13252,0.35,0.12
WT_02_ClickLogin_FB,128,367,348,426,475,743,276,811,0.000%,.03617,0.13,0.07
WT_05_SelectFlights_FF,465,96,87,138,149,158,66,185,0.000%,.13252,0.38,0.11
WT_06_PassengerDtailsAndCont_FF,465,100,85,137,150,295,64,448,0.000%,.13252,0.37,0.13
WT_03_ClickFlights_FB,128,353,346,427,461,474,284,478,0.000%,.03617,0.25,0.07
WT_07_Home_FF,465,361,340,479,489,496,276,529,0.000%,.13251,0.48,0.25
WT_08_ClickSignOff_FF,465,267,255,344,353,368,212,381,0.000%,.13305,0.39,0.24
WT_04_FindFlights_FB,128,90,81,132,156,162,64,164,0.000%,.03647,0.10,0.03
WT_05_SelectFlights_FB,120,96,89,149,155,169,66,171,0.000%,.03631,0.10,0.03
WT_06_PassengerDtailsAndCont_FB,120,94,92,133,138,159,65,177,0.000%,.03631,0.10,0.04
WT_07_Home_FB,120,341,327,422,435,452,275,470,0.000%,.03631,0.13,0.07
WT_08_ClickSignOff_FB,120,262,250,320,332,362,211,378,0.000%,.03631,0.11,0.06
TOTAL,4712,242,258,394,456,515,64,1078,0.000%,1.30983,5.16,2.13
